20 flow networks in flowNetworks2.txt.

** G1: |V|=100, V={0..99}
(u, v, weight) E = { 
      (138,  3,  36)
      (138,  6,  86)
      (138,  7,  34)
      (138, 11,   9)
      (138, 15,  33)
      (138, 20,  92)
      (138, 35,  27)
      (138, 57,  95)
      (138, 65,  32)
      (138, 68,  54)
      (138, 83,  45)
      (138, 90,  68)
      (138, 113,  26)
      (138, 118,  91)
      (138, 122,  28)
      (138, 137,  35)
      (138, 146,  13)
      (138, 159,  66)
      (138, 163,  80)
      (138, 178,  50)
      (138, 187,  17)
      (138, 188,  53)
      (138, 191,  39)
      (138, 198,  17)
      (138, 199,  72)
      (139, 10,  88)
      (139, 11,  26)
      (139, 16,  15)
      (139, 22,  57)
      (139, 46,  14)
      (139, 57,  84)
      (139, 59,  60)
      (139, 60,  71)
      (139, 73,  47)
      (139, 74,  15)
      (139, 77,  33)
      (139, 81,  65)
      (139, 121,  58)
      (139, 122,   1)
      (139, 134,  47)
      (139, 136,  14)
      (139, 152,  12)
      (139, 154,  64)
      (139, 163,  60)
      (139, 167,  91)
      (139, 179,   1)
      (139, 190,  97)
      (140, 14,  19)
      (140, 17,  64)
      (140, 26,  61)
      (140, 33,  58)
      (140, 76,  15)
      (140, 80,  65)
      (140, 90,  16)
      (140, 94,  88)
      (140, 95,  82)
      (140, 99,  36)
      (140, 110,   2)
      (140, 128,  10)
      (140, 129,  25)
      (140, 153,   9)
      (140, 173,  71)
      (140, 187,   8)
      (140, 194,  81)
      (141, 11,  76)
      (141, 60,  83)
      (141, 74,  17)
      (141, 81,  57)
      (141, 102,  89)
      (141, 107,   6)
      (141, 109,  17)
      (141, 110,  22)
      (141, 121,  45)
      (141, 137,  55)
      (141, 160,  59)
      (141, 184,  36)
      (141, 192,  59)
      (141, 199,  15)
      (142, 29,  84)
      (142, 30,  96)
      (142, 43,   7)
      (142, 44,  97)
      (142, 46,  77)
      (142, 82,  68)
      (142, 99,  74)
      (142, 127,  23)
      (142, 134,  66)
      (142, 154,  47)
      (142, 164,  51)
      (142, 183,  97)
      (142, 190,   9)
      (143, 12,  61)
      (143, 21,  94)
      (143, 30,  29)
      (143, 40,  51)
      (143, 43,  95)
      (143, 55,   3)
      (143, 65,  51)
      (143, 66,  45)
      (143, 91,  93)
      (143, 92,  69)
      (143, 101,  70)
      (143, 112,  87)
      (143, 114,  72)
      (143, 124,  41)
      (143, 134,  33)
      (143, 148,   9)
      (143, 151,  45)
      (143, 152,  40)
      (143, 155,  96)
      (143, 169,  47)
      (143, 175,  13)
      (143, 181,  65)
      (143, 185,  85)
      (143, 193,  97)
      (144, 15,  74)
      (144, 21,  76)
      (144, 31,  15)
      (144, 54,  71)
      (144, 70,  74)
      (144, 82,  92)
      (144, 88,  31)
      (144, 115,  25)
      (144, 120,  80)
      (144, 126,  77)
      (144, 132,  93)
      (144, 151,  75)
      (144, 153,  19)
      (144, 157,  18)
      (144, 163,  36)
      (144, 179,  37)
      (144, 181,  83)
      (144, 183,  91)
      (144, 188,  42)
      (144, 198,  71)
      (145,  1,  91)
      (145,  4,  35)
      (145, 28,  89)
      (145, 36,  77)
      (145, 45,  60)
      (145, 76,  57)
      (145, 91,  30)
      (145, 113,  50)
      (145, 116,  79)
      (145, 139,  14)
      (145, 142,  54)
      (145, 149,  59)
      (145, 189,  78)
      (145, 193,  88)
      (145, 196,  38)
      (146,  3,  64)
      (146, 11,  17)
      (146, 12,  13)
      (146, 26,  62)
      (146, 50,  71)
      (146, 53,  34)
      (146, 54,  46)
      (146, 61,  70)
      (146, 80,  41)
      (146, 85,  88)
      (146, 107,  63)
      (146, 108,  38)
      (146, 117,   0)
      (146, 120,  87)
      (146, 126,  65)
      (146, 130,  12)
      (146, 133,  50)
      (146, 162,  16)
      (146, 179,  63)
      (146, 184,   2)
      (146, 186,  88)
      (147, 18,  70)
      (147, 23,  75)
      (147, 26,  66)
      (147, 36,   5)
      (147, 41,  50)
      (147, 43,   1)
      (147, 58,  47)
      (147, 63,  54)
      (147, 84,  83)
      (147, 131,  25)
      (147, 169,  62)
      (147, 174,  34)
      (147, 178,  36)
      (147, 192,   6)
      (147, 196,  82)
      (148,  8,  94)
      (148, 14,  29)
      (148, 17,  38)
      (148, 24,   3)
      (148, 31,  49)
      (148, 43,  51)
      (148, 53,  68)
      (148, 56,  97)
      (148, 59,  42)
      (148, 60,  14)
      (148, 78,  94)
      (148, 86,  98)
      (148, 88,  55)
      (148, 95,  28)
      (148, 128,  74)
      (148, 147,  90)
      (148, 156,  63)
      (148, 162,  16)
      (148, 167,  99)
      (148, 169,  19)
      (148, 179,  98)
      (148, 183,  47)
      (148, 192,   6)
      (148, 193,   5)
      (149,  6,  83)
      (149, 22,  36)
      (149, 34,  16)
      (149, 37,  26)
      (149, 44,  70)
      (149, 67,  53)
      (149, 74,  48)
      (149, 98,  20)
      (149, 118,  65)
      (149, 180,   5)
      (149, 199,  53)
      (150, 22,  46)
      (150, 29,  13)
      (150, 35,  81)
      (150, 40,  27)
      (150, 49,  40)
      (150, 50,  70)
      (150, 53,  72)
      (150, 57,  40)
      (150, 59,   8)
      (150, 63,  98)
      (150, 64,  57)
      (150, 93,  56)
      (150, 109,  41)
      (150, 118,  53)
      (150, 128,  71)
      (150, 135,  72)
      (150, 138,  79)
      (150, 144,  99)
      (150, 147,  44)
      (150, 153,   4)
      (150, 155,  40)
      (150, 159,  43)
      (150, 161,  28)
      (150, 164,  78)
      (150, 188,   1)
      (151, 11,  15)
      (151, 25,  31)
      (151, 34,  79)
      (151, 41,   2)
      (151, 53,  13)
      (151, 63,  80)
      (151, 76,  81)
      (151, 80,  31)
      (151, 82,  34)
      (151, 87,  12)
      (151, 91,  14)
      (151, 102,  47)
      (151, 104,  17)
      (151, 136,  99)
      (151, 137,  15)
      (151, 158,   4)
      (151, 166,  69)
      (151, 187,  33)
      (151, 198,  36)
      (152,  1,  20)
      (152,  6,  58)
      (152, 21,  40)
      (152, 22,  94)
      (152, 27,  64)
      (152, 30,   1)
      (152, 33,  28)
      (152, 55,  49)
      (152, 89,  83)
      (152, 106,  38)
      (152, 108,  15)
      (152, 118,  64)
      (152, 119,  45)
      (152, 125,   2)
      (152, 126,  34)
      (152, 127,  68)
      (152, 129,  60)
      (152, 145,  12)
      (152, 153,  33)
      (152, 158,  50)
      (152, 168,  57)
      (152, 178,  31)
      (152, 188,  96)
      (152, 192,  33)
      (152, 197,  31)
      (153,  5,  33)
      (153, 11,   3)
      (153, 30,  49)
      (153, 47,  28)
      (153, 55,  13)
      (153, 67,  56)
      (153, 85,  13)
      (153, 87,  81)
      (153, 104,  28)
      (153, 116,  68)
      (153, 128,  10)
      (153, 129,  43)
      (153, 170,  49)
      (153, 171,  87)
      (153, 179,   5)
      (154,  3,   2)
      (154,  5,  14)
      (154, 15,  88)
      (154, 52,  98)
      (154, 82,  24)
      (154, 90,  38)
      (154, 95,  70)
      (154, 106,  62)
      (154, 121,  94)
      (154, 126,  23)
      (154, 127,  78)
      (154, 133,   8)
      (154, 135,  71)
      (154, 163,  58)
      (154, 167,  78)
      (154, 185,  22)
      (154, 187,  95)
      (154, 188,  21)
      (154, 191,   2)
      (155,  2,  35)
      (155,  3,  50)
      (155, 14,  84)
      (155, 18,  66)
      (155, 27,  33)
      (155, 37,  59)
      (155, 52,  31)
      (155, 56,  55)
      (155, 62,  44)
      (155, 68,  95)
      (155, 85,  69)
      (155, 89,  84)
      (155, 99,  84)
      (155, 100,  74)
      (155, 107,  28)
      (155, 110,  90)
      (155, 112,  22)
      (155, 128,  13)
      (155, 141,  25)
      (155, 180,  10)
      (155, 188,  28)
      (156,  3,   9)
      (156,  5,  77)
      (156, 10,  19)
      (156, 40,  55)
      (156, 47,  34)
      (156, 59,  62)
      (156, 66,  23)
      (156, 68,  99)
      (156, 71,  37)
      (156, 75,  72)
      (156, 91,  23)
      (156, 94,  93)
      (156, 101,  28)
      (156, 104,  84)
      (156, 121,  36)
      (156, 125,  42)
      (156, 147,  80)
      (156, 148,   1)
      (156, 153,  59)
      (156, 159,  97)
      (156, 167,  44)
      (156, 178,  56)
      (156, 196,  20)
      (157,  5,  98)
      (157,  8,  88)
      (157, 20,   4)
      (157, 22,  73)
      (157, 27,   8)
      (157, 34,   1)
      (157, 38,  60)
      (157, 53,  32)
      (157, 58,  30)
      (157, 63,  20)
      (157, 65,  92)
      (157, 81,  43)
      (157, 82,  91)
      (157, 90,  23)
      (157, 95,  75)
      (157, 104,  44)
      (157, 110,  23)
      (157, 145,  66)
      (157, 151,  45)
      (157, 181,  54)
      (157, 185,  47)
      (158, 11,  23)
      (158, 13,  39)
      (158, 17,   3)
      (158, 18,  86)
      (158, 44,  11)
      (158, 46,  89)
      (158, 80,  78)
      (158, 135,  15)
      (158, 161,  72)
      (158, 174,  92)
      (158, 184,   8)
      (158, 188,  56)
      (159,  2,   9)
      (159, 13,  84)
      (159, 16,  32)
      (159, 48,  63)
      (159, 52,   5)
      (159, 54,  36)
      (159, 68,  65)
      (159, 76,  26)
      (159, 85,  66)
      (159, 88,  30)
      (159, 91,  47)
      (159, 92,  92)
      (159, 96,  10)
      (159, 102,  21)
      (159, 107,  45)
      (159, 128,   8)
      (159, 141,  74)
      (159, 154,  29)
      (159, 156,  22)
      (159, 171,  58)
      (159, 181,  29)
      (159, 183,  80)
      (159, 191,   9)
      (159, 195,  54)
      (159, 199,  19)
      (160,  4,  43)
      (160, 15,  88)
      (160, 34,  97)
      (160, 61,  12)
      (160, 66,   1)
      (160, 69,  65)
      (160, 78,  60)
      (160, 79,   8)
      (160, 92,  20)
      (160, 130,  45)
      (160, 140,  99)
      (160, 148,  63)
      (160, 165,  72)
      (160, 176,   2)
      (160, 177,  20)
      (160, 180,  56)
      (160, 181,  49)
      (161,  7,  42)
      (161,  8,  22)
      (161, 19,  16)
      (161, 28,  66)
      (161, 35,  38)
      (161, 37,  13)
      (161, 38,  92)
      (161, 73,  59)
      (161, 83,  92)
      (161, 84,  54)
      (161, 88,  61)
      (161, 93,   4)
      (161, 94,  84)
      (161, 146,  62)
      (161, 152,  41)
      (161, 154,   9)
      (161, 155,  95)
      (161, 158,   0)
      (161, 159,   3)
      (161, 179,  93)
      (161, 191,  73)
      (162, 15,  74)
      (162, 64,  82)
      (162, 71,  14)
      (162, 82,  41)
      (162, 87,  49)
      (162, 104,  81)
      (162, 115,  91)
      (162, 116,  77)
      (162, 123,  48)
      (162, 129,  88)
      (162, 142,  97)
      (162, 145,   6)
      (162, 151,  89)
      (162, 152,  38)
      (162, 154,  37)
      (162, 160,  53)
      (162, 171,  67)
      (162, 177,  27)
      (162, 180,  60)
      (163,  5,  49)
      (163, 14,  32)
      (163, 22,  86)
      (163, 37,  92)
      (163, 39,  12)
      (163, 53,  53)
      (163, 79,  28)
      (163, 85,  61)
      (163, 96,   9)
      (163, 98,  95)
      (163, 102,  96)
      (163, 107,  92)
      (163, 113,  47)
      (163, 118,  37)
      (163, 119,  84)
      (163, 150,  25)
      (163, 156,  43)
      (163, 167,  82)
      (164, 13,   4)
      (164, 18,  56)
      (164, 24,  70)
      (164, 31,  64)
      (164, 37,  31)
      (164, 45,  99)
      (164, 60,   0)
      (164, 84,  14)
      (164, 87,  94)
      (164, 96,  71)
      (164, 107,   9)
      (164, 113,   0)
      (164, 115,  14)
      (164, 121,  55)
      (164, 130,  47)
      (164, 144,  10)
      (164, 146,   1)
      (164, 149,  63)
      (164, 152,  67)
      (164, 182,  17)
      (164, 197,  36)
      (164, 199,  89)
      (165,  3,  47)
      (165, 36,  94)
      (165, 39,  17)
      (165, 46,  79)
      (165, 59,  25)
      (165, 65,  58)
      (165, 73,  19)
      (165, 81,  46)
      (165, 85,   2)
      (165, 92,   5)
      (165, 93,  61)
      (165, 99,  45)
      (165, 102,  42)
      (165, 114,  86)
      (165, 143,  44)
      (165, 144,  78)
      (165, 145,  38)
      (165, 146,  92)
      (165, 174,  63)
      (165, 188,  28)
      (165, 199,  21)
      (166, 18,  74)
      (166, 29,  14)
      (166, 30,  69)
      (166, 44,  34)
      (166, 51,  86)
      (166, 69,  74)
      (166, 81,  29)
      (166, 87,  35)
      (166, 88,   2)
      (166, 90,  91)
      (166, 100,  47)
      (166, 105,  86)
      (166, 147,  40)
      (166, 159,  95)
      (166, 190,  25)
      (166, 196,  13)
      (167,  1,  60)
      (167,  2,  91)
      (167,  7,  37)
      (167, 19,  70)
      (167, 40,  97)
      (167, 42,  58)
      (167, 93,  67)
      (167, 111,  31)
      (167, 116,  64)
      (167, 129,  58)
      (167, 132,  87)
      (167, 149,  58)
      (167, 154,  78)
      (167, 159,  43)
      (167, 162,  66)
      (167, 178,  82)
      (167, 198,   7)
      (168, 10,  23)
      (168, 12,  18)
      (168, 28,  21)
      (168, 40,  61)
      (168, 54,  22)
      (168, 60,  46)
      (168, 75,  97)
      (168, 84,  91)
      (168, 92,  24)
      (168, 117,  93)
      (168, 150,  88)
      (168, 155,  41)
      (168, 160,  11)
      (168, 161,  19)
      (168, 167,  46)
      (168, 177,  28)
      (168, 193,  47)
      (169,  4,  69)
      (169,  6,  48)
      (169, 21,  19)
      (169, 28,  12)
      (169, 37,  28)
      (169, 38,  94)
      (169, 39,   3)
      (169, 54,  13)
      (169, 65,  49)
      (169, 69,  72)
      (169, 71,  78)
      (169, 75,  20)
      (169, 85,  57)
      (169, 101,  68)
      (169, 105,  93)
      (169, 110,  47)
      (169, 112,  13)
      (169, 135,  57)
      (169, 141,  69)
      (169, 146,  81)
      (169, 154,  70)
      (169, 160,  90)
      (169, 165,   6)
      (169, 171,  21)
      (169, 176,   0)
      (170, 14,  28)
      (170, 36,  94)
      (170, 48,  23)
      (170, 54,  68)
      (170, 90,   7)
      (170, 100,  61)
      (170, 110,  45)
      (170, 118,  70)
      (170, 140,  88)
      (170, 148,  75)
      (170, 151,  55)
      (170, 154,  89)
      (170, 174,  29)
      (171,  8,  24)
      (171, 20,   0)
      (171, 25,  13)
      (171, 38,  45)
      (171, 48,  94)
      (171, 50,  25)
      (171, 68,  59)
      (171, 72,  96)
      (171, 80,  57)
      (171, 84,  36)
      (171, 87,  13)
      (171, 93,  39)
      (171, 126,  59)
      (171, 127,  79)
      (171, 131,  72)
      (171, 133,  61)
      (171, 154,  45)
      (171, 175,  61)
      (172,  1,  54)
      (172, 12,  48)
      (172, 42,  68)
      (172, 47,  64)
      (172, 49,  71)
      (172, 83,  83)
      (172, 92,  42)
      (172, 96,  48)
      (172, 100,  84)
      (172, 103,   7)
      (172, 113,   3)
      (172, 126,  41)
      (172, 128,   9)
      (172, 153,  51)
      (172, 157,  17)
      (172, 165,  44)
      (172, 174,   1)
      (172, 179,   4)
      (172, 189,  54)
      (172, 190,  37)
      (173, 11,  75)
      (173, 13,  52)
      (173, 23,   4)
      (173, 25,  48)
      (173, 27,  32)
      (173, 29,  87)
      (173, 30,  63)
      (173, 34,  87)
      (173, 37,  31)
      (173, 44,  30)
      (173, 57,  79)
      (173, 58,  65)
      (173, 66,  77)
      (173, 88,  30)
      (173, 102,   8)
      (173, 108,  99)
      (173, 110,  64)
      (173, 114,  75)
      (173, 118,  74)
      (173, 120,  12)
      (173, 123,   1)
      (173, 125,  26)
      (173, 130,  53)
      (173, 132,  92)
      (173, 142,  55)
      (173, 147,  82)
      (173, 154,  44)
      (173, 166,  91)
      (174,  6,   8)
      (174, 12,  58)
      (174, 30,  73)
      (174, 41,  83)
      (174, 42,  49)
      (174, 47,  97)
      (174, 73,  49)
      (174, 77,   7)
      (174, 84,  74)
      (174, 86,  44)
      (174, 88,  19)
      (174, 99,  58)
      (174, 103,  22)
      (174, 118,  74)
      (174, 124,  58)
      (174, 125,  57)
      (174, 128,  97)
      (174, 150,   4)
      (174, 180,  33)
      (174, 184,  14)
      (174, 188,  50)
      (174, 199,  98)
      (175,  8,  10)
      (175, 20,  48)
      (175, 33,   2)
      (175, 39,  16)
      (175, 51,   1)
      (175, 57,  73)
      (175, 60,   1)
      (175, 75,  72)
      (175, 82,  84)
      (175, 83,  36)
      (175, 94,  88)
      (175, 103,  65)
      (175, 125,  68)
      (175, 145,  91)
      (175, 165,  33)
      (175, 174,   1)
      (175, 182,  29)
      (175, 194,  62)
      (176, 13,  25)
      (176, 19,  50)
      (176, 55,  52)
      (176, 69,  11)
      (176, 77,  51)
      (176, 83,  63)
      (176, 84,  83)
      (176, 87,   4)
      (176, 102,  80)
      (176, 107,  69)
      (176, 124,  78)
      (176, 149,  11)
      (176, 177,   4)
      (177,  6,  51)
      (177, 14,  58)
      (177, 19,  90)
      (177, 31,  22)
      (177, 46,  45)
      (177, 49,  19)
      (177, 57,  29)
      (177, 69,  82)
      (177, 71,  18)
      (177, 74,  48)
      (177, 87,  37)
      (177, 105,  72)
      (177, 120,   7)
      (177, 146,  16)
      (177, 170,  51)
      (177, 179,  73)
      (177, 190,  51)
      (178, 10,  60)
      (178, 12,  54)
      (178, 22,  78)
      (178, 41,  69)
      (178, 43,  84)
      (178, 70,  12)
      (178, 71,  13)
      (178, 72,  84)
      (178, 77,  67)
      (178, 84,  40)
      (178, 91,  81)
      (178, 109,  92)
      (178, 114,  70)
      (178, 122,  57)
      (178, 123,  80)
      (178, 137,  73)
      (178, 162,  92)
      (178, 168,  71)
      (178, 190,  16)
      (179,  6,  53)
      (179, 14,  11)
      (179, 29,  50)
      (179, 37,  32)
      (179, 45,  89)
      (179, 67,  84)
      (179, 70,  63)
      (179, 81,  81)
      (179, 82,  26)
      (179, 96,  48)
      (179, 104,  28)
      (179, 106,  91)
      (179, 123,  34)
      (179, 139,  23)
      (179, 146,  36)
      (179, 150,  13)
      (179, 165,   6)
      (179, 188,  37)
      (179, 197,  49)
      (180, 27,  58)
      (180, 33,  45)
      (180, 37,  71)
      (180, 47,  75)
      (180, 62,  76)
      (180, 69,  79)
      (180, 73,  14)
      (180, 80,  55)
      (180, 100,  28)
      (180, 102,  49)
      (180, 104,  58)
      (180, 111,  79)
      (180, 122,  41)
      (180, 158,  69)
      (180, 192,   4)
      (180, 196,  70)
      (181, 18,  92)
      (181, 21,  80)
      (181, 83,  63)
      (181, 85,  75)
      (181, 121,  38)
      (181, 136,  11)
      (181, 138,  38)
      (181, 156,  57)
      (181, 162,  65)
      (181, 179,   6)
      (181, 192,  72)
      (182, 16,  80)
      (182, 20,  31)
      (182, 21,   7)
      (182, 46,  23)
      (182, 49,   9)
      (182, 61,   9)
      (182, 70,  41)
      (182, 73,  50)
      (182, 88,  34)
      (182, 90,  75)
      (182, 99,   9)
      (182, 111,  17)
      (182, 114,  13)
      (182, 137,  32)
      (182, 156,  36)
      (182, 159,  36)
      (182, 180,  21)
      (182, 188,  15)
      (183,  3,   7)
      (183, 13,  71)
      (183, 47,  57)
      (183, 50,  25)
      (183, 56,  61)
      (183, 57,  97)
      (183, 60,  78)
      (183, 96,  61)
      (183, 98,   8)
      (183, 108,  24)
      (183, 121,  95)
      (183, 137,  94)
      (183, 138,  25)
      (183, 144,  14)
      (183, 149,  61)
      (183, 152,  66)
      (183, 160,  12)
      (183, 188,  82)
      (184,  5,   9)
      (184, 12,  79)
      (184, 16,  67)
      (184, 26,  23)
      (184, 29,  72)
      (184, 36,  47)
      (184, 37,  54)
      (184, 39,  69)
      (184, 40,  79)
      (184, 54,  90)
      (184, 79,  79)
      (184, 90,  39)
      (184, 108,  58)
      (184, 115,  36)
      (184, 124,  26)
      (184, 130,  77)
      (184, 135,  43)
      (184, 139,  43)
      (184, 146,  16)
      (184, 156,  22)
      (184, 159,  84)
      (184, 170,  52)
      (184, 172,  53)
      (184, 173,  57)
      (184, 189,  15)
      (185,  6,  48)
      (185,  7,  42)
      (185, 12,  53)
      (185, 17,  83)
      (185, 31,  95)
      (185, 37,   8)
      (185, 53,  87)
      (185, 56,  49)
      (185, 67,  16)
      (185, 74,  59)
      (185, 89,  31)
      (185, 121,  79)
      (185, 124,  38)
      (185, 125,  66)
      (185, 131,  58)
      (185, 136,  45)
      (185, 146,  69)
      (185, 154,  98)
      (185, 173,   8)
      (185, 177,  91)
      (186, 10,  45)
      (186, 13,  91)
      (186, 18,  41)
      (186, 48,  16)
      (186, 55,  51)
      (186, 82,  30)
      (186, 85,  60)
      (186, 96,  27)
      (186, 113,  59)
      (186, 135,  14)
      (186, 153,  50)
      (186, 162,  69)
      (186, 175,  36)
      (186, 182,  66)
      (186, 194,  71)
      (187,  7,  63)
      (187, 12,  47)
      (187, 14,  25)
      (187, 32,  90)
      (187, 40,  36)
      (187, 46,  88)
      (187, 49,  94)
      (187, 68,  18)
      (187, 111,   5)
      (187, 120,  46)
      (187, 139,  59)
      (187, 155,   4)
      (187, 161,  53)
      (187, 163,  66)
      (187, 192,   2)
      (187, 195,  54)
      (188,  4,   6)
      (188,  5,  19)
      (188, 20,  18)
      (188, 33,   3)
      (188, 43,  35)
      (188, 45,  93)
      (188, 50,   1)
      (188, 56,  63)
      (188, 101,   1)
      (188, 108,  38)
      (188, 119,  56)
      (188, 132,  91)
      (188, 139,  75)
      (188, 148,  25)
      (188, 152,  79)
      (188, 157,  54)
      (188, 163,  33)
      (188, 166,  92)
      (189,  2,  33)
      (189, 23,  43)
      (189, 32,  34)
      (189, 60,  43)
      (189, 68,  92)
      (189, 81,  73)
      (189, 89,   4)
      (189, 94,  79)
      (189, 97,   0)
      (189, 98,  27)
      (189, 103,  19)
      (189, 105,  52)
      (189, 106,  39)
      (189, 110,  82)
      (189, 131,  44)
      (189, 132,  53)
      (189, 151,  85)
      (189, 162,  25)
      (189, 180,  37)
      (189, 181,  43)
      (189, 198,  49)
      (190, 10,  63)
      (190, 23,  42)
      (190, 36,  89)
      (190, 53,  83)
      (190, 59,  77)
      (190, 60,  20)
      (190, 65,  33)
      (190, 66,  79)
      (190, 71,  15)
      (190, 77,  59)
      (190, 86,  58)
      (190, 87,  31)
      (190, 100,  59)
      (190, 114,  14)
      (190, 140,   2)
      (190, 141,  11)
      (190, 155,  40)
      (190, 157,  62)
      (190, 158,  20)
      (190, 159,  39)
      (190, 167,  89)
      (190, 183,  51)
      (190, 191,  31)
      (191, 24,  59)
      (191, 43,  97)
      (191, 47,  63)
      (191, 53,  53)
      (191, 63,  11)
      (191, 65,   7)
      (191, 67,   1)
      (191, 73,  10)
      (191, 87,  99)
      (191, 88,  32)
      (191, 95,  14)
      (191, 119,  55)
      (191, 133,   8)
      (191, 158,  75)
      (191, 170,   8)
      (191, 174,  65)
      (191, 176,  88)
      (192,  4,  68)
      (192, 15,   2)
      (192, 18,  16)
      (192, 20,  15)
      (192, 50,  10)
      (192, 64,  17)
      (192, 67,  92)
      (192, 68,  91)
      (192, 72,  80)
      (192, 91,  85)
      (192, 97,  67)
      (192, 111,  35)
      (192, 112,  67)
      (192, 135,   1)
      (192, 139,  78)
      (192, 143,  74)
      (192, 147,  41)
      (192, 151,  15)
      (192, 173,  64)
      (193, 21,  84)
      (193, 81,  99)
      (193, 85,  67)
      (193, 87,  59)
      (193, 90,  81)
      (193, 147,  97)
      (193, 151,  17)
      (193, 158,  30)
      (193, 177,   3)
      (194,  7,  96)
      (194, 26,  62)
      (194, 44,  72)
      (194, 52,  34)
      (194, 61,  47)
      (194, 72,  95)
      (194, 76,  23)
      (194, 84,  53)
      (194, 113,  78)
      (194, 125,  64)
      (194, 129,   7)
      (194, 141,  84)
      (194, 143,  51)
      (194, 144,  47)
      (194, 167,  29)
      (194, 176,   6)
      (194, 180,  24)
      (194, 189,  94)
      (194, 195,   8)
      (194, 199,   5)
      (195,  2,  77)
      (195, 11,  80)
      (195, 21,  40)
      (195, 27,  89)
      (195, 32,  29)
      (195, 42,  98)
      (195, 55,  52)
      (195, 60,   6)
      (195, 68,  80)
      (195, 72,  80)
      (195, 85,  15)
      (195, 88,  62)
      (195, 95,  53)
      (195, 108,  60)
      (195, 109,  71)
      (195, 112,  89)
      (195, 143,  59)
      (195, 180,  35)
      (195, 187,  13)
      (196,  2,  83)
      (196, 16,  80)
      (196, 18,  95)
      (196, 19,   4)
      (196, 30,  48)
      (196, 46,  80)
      (196, 54,  30)
      (196, 55,  82)
      (196, 63,  46)
      (196, 82,  69)
      (196, 92,  98)
      (196, 100,  55)
      (196, 103,  29)
      (196, 111,  52)
      (196, 124,  23)
      (196, 131,  42)
      (196, 136,   1)
      (196, 141,  76)
      (196, 180,  94)
      (196, 183,  84)
      (196, 190,  35)
      (196, 193,  82)
      (197,  5,  63)
      (197, 24,  67)
      (197, 45,  72)
      (197, 51,  49)
      (197, 67,  16)
      (197, 72,  38)
      (197, 77,  29)
      (197, 80,  75)
      (197, 91,   8)
      (197, 126,  97)
      (197, 134,  62)
      (197, 136,  38)
      (197, 139,  83)
      (197, 155,  37)
      (197, 167,  31)
      (197, 171,  38)
      (197, 182,   9)
      (197, 183,  38)
      (197, 190,  54)
      (197, 193,  12)
      (197, 199,  68)
      (198, 17,  35)
      (198, 34,   7)
      (198, 79,  97)
      (198, 81,   4)
      (198, 112,  56)
      (198, 115,   0)
      (198, 116,  88)
      (198, 127,  96)
      (198, 150,  46)
      (198, 164,  78)
      (198, 167,  62)
      (198, 168,  14)
      (198, 170,  81)
      (198, 178,  45)
      (198, 184,  91)
      (198, 187,  45) }
------------------------- 

** G13: |V|=250, V={0..249}
(u, v, weight) E = { 
      ( 0,  4,  10)
      ( 0, 20,  10)
      ( 0, 26,  45)
      ( 0, 41,  84)
      ( 0, 45,  98)
      ( 0, 55,   5)
      ( 0, 65,  20)
      ( 0, 87,  61)
      ( 0, 93,  58)
      ( 0, 107,  90)
      ( 0, 115,   0)
      ( 0, 126,  85)
      ( 0, 127,  68)
      ( 0, 137,   7)
      ( 0, 139,  64)
      ( 0, 144,  73)
      ( 0, 163,  93)
      ( 0, 167,   5)
      ( 0, 168,  42)
      ( 0, 178,  12)
      ( 0, 190,  17)
      ( 0, 214,  55)
      ( 1, 23,  10)
      ( 1, 25,  17)
      ( 1, 76,   6)
      ( 1, 98,  78)
      ( 1, 106,  66)
      ( 1, 111,  13)
      ( 1, 113,  60)
      ( 1, 133,  93)
      ( 1, 138,  60)
      ( 1, 139,  17)
      ( 1, 144,  79)
      ( 1, 147,  73)
      ( 1, 165,  49)
      ( 1, 179,  22)
      ( 1, 180,  90)
      ( 1, 190,   3)
      ( 1, 191,  92)
      ( 1, 220,  87)
      ( 1, 247,  12)
      ( 2,  4,  24)
      ( 2, 14,  18)
      ( 2, 16,   5)
      ( 2, 18,   7)
      ( 2, 28,  61)
      ( 2, 44,  70)
      ( 2, 46,  20)
      ( 2, 54,   6)
      ( 2, 65,  69)
      ( 2, 67,  53)
      ( 2, 84,  76)
      ( 2, 119,  22)
      ( 2, 131,  37)
      ( 2, 134,  34)
      ( 2, 174,  81)
      ( 2, 181,  75)
      ( 2, 192,  21)
      ( 2, 193,  74)
      ( 2, 195,  16)
      ( 2, 199,  86)
      ( 2, 205,  22)
      ( 2, 208,  30)
      ( 2, 213,  85)
      ( 2, 238,  24)
      ( 3,  7,  56)
      ( 3, 16,  73)
      ( 3, 23,  47)
      ( 3, 24,  38)
      ( 3, 26,  12)
      ( 3, 47,  47)
      ( 3, 65,  15)
      ( 3, 70,  36)
      ( 3, 74,  35)
      ( 3, 76,  51)
      ( 3, 82,  28)
      ( 3, 94,  17)
      ( 3, 118,  88)
      ( 3, 120,   5)
      ( 3, 143,  15)
      ( 3, 158,  15)
      ( 3, 171,  80)
      ( 3, 173,  58)
      ( 3, 182,   6)
      ( 3, 187,  19)
      ( 3, 194,  37)
      ( 3, 197,  85)
      ( 3, 223,  45)
      ( 3, 229,  82)
      ( 3, 235,  44)
      ( 3, 244,  28)
      ( 4, 10,   3)
      ( 4, 13,  90)
      ( 4, 25,   5)
      ( 4, 29,  47)
      ( 4, 30,  86)
      ( 4, 52,  57)
